,date,announcement
46362,2014-09-25,"Harris Information Technology Services, Herndon, Virginia, has been awarded a $26,792,414 option (P00142) to previously awarded contract FA2550-08-C-8011. Contractor will provide operations, maintenance and logistics support of the Air Force Satellite Control Network antenna sites world-wide, as well as various communications, operations, software and related support services to the 50th Space Wing, Schriever Air Force Base, Colorado, at the 50th Space Wing's geographically separated units in the United States and foreign locations. Work will be performed at Schriever Air Force Base, Colorado; Ellison Onizuka Satellite Operations Facility and Vandenberg Tracking Station, Vandenberg Air Force Base, California; Diego Garcia Station, Diego Garcia, British Indian Ocean Territory; Guam Tracking Station, Andersen Air Force Base, Guam; Hawaii Tracking Station, Kaena Point, Hawaii; New Boston Air Force Station, New Hampshire; Eastern Vehicle Checkout Facility, Cape Canaveral Air Force Station, Florida; and Thule Tracking Station, Thule Air Base, Greenland work is expected to be completed by March 30, 2015. No funds are being obligated at the time of award. The 50th Contracting Squadron, Schriever Air Force Base, Colorado, is the contracting activity (FA2550-08-C-8011). Portico Services, Manassas, Virginia, has been awarded an $18,644,270 firm-fixed-price contract for repair of powerhouse generators. Contractor will provide all labor, equipment, tools and materials necessary to replace four of the existing five generators of various sizes, and installing four 2420kW Prime Duty, low RPM generators modified/derated to run on JP-8 fuel. Work will be performed at Ascension Auxiliary Airfield, Ascension Island, and is expected to be completed by June 29, 2016. This award is the result of a sole-source, 8a Alaskan Native Corporation acquisition. Fiscal 2014 operations and maintenance funds in the amount of $18,644,270 will be obligated at the time of award. The 45th Contracting Squadron, Patrick Air Force Base, Florida, is the contracting activity (FA2521-14-C-0086)."
46367,2014-09-25,"Exelis-Night Vision and Communications Solutions, Fort Wayne, Indiana, has been awarded a $10,344,841 supply contract for design updates, production and delivery of the Data Storage Service Life Extension Program for the Strategic Automated Command and Control System. Work will be performed at Fort Wayne, Indiana, and is expected to be completed by May 2, 2016. This award is the result of a sole-source acquisition. Fiscal 2012 other procurement funds in the amount of $10,344,841 are being obligated at the time of award. Air Force Nuclear Weapon Center, Hill Air Force Base, Utah, is the contracting activity (FA8204-14-C-0023). Facilitec, Inc., St. Louis, Missouri, has been awarded an indefinite-delivery/indefinite-quantity contract, not-to-exceed $9,500,000, to provide panel systems and modular furniture for Headquarters Air Mobility Command facilities at Scott Air Force Base, Illinois. Work will be performed at Scott Air Force Base, Illinois, with an expected completion date of Sept. 22, 2018. Fiscal 2014 certified funds in the amount of $1,731,582 are being obligated at the time of award. This award was a competitive acquisition and four offers were received. The 375th Contracting Squadron, Scott Air Force Base, Illinois, is the contracting activity (FA4407-14-D-0022)."
46389,2014-09-26,"Elzly Technology Corporation,* Reston, Virginia, was awarded a $9,900,000 firm-fixed-price contract for corrosion engineering support to assist the Tank-Automotive and Armaments Command and the Tank Automotive Research, Development and Engineering Center in fulfilling the mission, which includes program planning, logistics, maintenance, inspection, testing, training, engineering, and research and development. Work and funding will be determined with each order, with an estimated completion date of Sept. 28, 2017. Bids were solicited via the Internet, with one received. Army Contracting Command, Tank and Automotive Warren, Warren, Michigan, is the contracting activity (W56HZV-14-D-0162). Assistive and Rehabilitative Services, Austin, Texas, was awarded a $9,374,650 firm-fixed-price contract for full food service in two dining facilities at Fort Bliss, Texas. Work and funding will be determined with each order, with an estimated completion date of Sept. 26, 2019. Bids were solicited via the Internet, with three received. Army Contracting Command, Fort Bliss, Texas, is the contracting activity (W911SG-14-D-0445)."
46427,2014-09-26,"John C. Grimberg Co. Inc., Rockville, Maryland, is being awarded $13,100,000 for firm-fixed-price task order 0010 under a previously awarded multiple award construction contract (N40080-10-D-0492) for energy repairs at the U. S. Naval Academy. The work to be performed provides for a ground-loop heat pump system to fully heat, condition, and ventilate Building 181, Halligan Hall, in its entirety. The ground-loop heat pump system will replace the existing steam service, and existing heating, ventilation and air conditioning (HVAC) equipment. The existing HVAC equipment is, in most cases, not energy efficient; it is at the end of its useful service life; requires a large amount of recurring and costly maintenance; and does not comply with current codes. Existing systems will be replaced by ceiling mounted, or console water source heat pumps, in conjunction with a dedicated outside air system. This project will also include window restoration of all windows in Halligan Hall. Work will be performed in Annapolis, Maryland, and is expected to be completed by August 2018. Fiscal 2014 restoration modernization - energy contract funds in the amount of $13,100,000 are obligated on this award and will expire at the end of the current fiscal year. Three proposals were received for this task order. The Naval Facilities Engineering Command, Washington, District of Columbia, is the contracting activity. Raytheon Integrated Defense Systems, Portsmouth, Rhode Island, is being awarded a $12,068,000 modification under previously awarded Basic Ordering Agreement (N00024-13-G-5413) for fiscal 2014 NATO Seasparrow Surface Missile Systems (NSSMS) MK 57 MOD 13 and Guided Missile Launching System (GMLS) MK 29 MOD 4/5. Work will be performed in Portsmouth, Rhode Island, and is expected to be completed by July 2016. Fiscal 2014 other procurement (Navy) contract funds in the amount of $12,069,000 will be obligated at time of award and will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, District of Columbia, is the contracting activity."
46597,2014-09-30,"General Atomics - Aeronautical Systems, Inc., Poway, California, has been awarded a $13,630,641 fixed-price-incentive firm and cost-plus-incentive-fee order (00053) under basic ordering agreement contract FA8620-10-G-3038 for Blue Box High Definition hardware and development. Work will be performed at Poway, California, and is expected to be completed by April 1, 2016. This award is the result of a sole-source acquisition. Fiscal 2012 aircraft procurement and fiscal 2014 research, development, test and evaluation funds in the amount of $7,165,070.98 are being obligated at the time of award. Air Force Life Cycle Management Center, Wright-Patterson Air Force Base, Ohio, is the contracting activity. Exelis, Inc., Colorado Springs, Colorado, has been awarded a $10,460,027 modification (P00535) to previously awarded contract F19628-02-C-0010 for the Ground-Based Electro-Optical Deep Space Surveillance (System) Modular Precision Absolute Control System Project. Contractor will provide a Modular Precision Angular Control System prototype, three refurbished mounts and spare motors. Work will be performed at Yoder, Colorado, and is expected to be completed by Dec. 21, 2015. Fiscal 2014 operations and maintenance funds in the amount of $10,460,027 are being obligated at the time of award. Space and Missile Center, Peterson Air Force Base, Colorado, is the contracting activity (F19628-02-C-0010)."
46836,2014-11-04,"Bell Helicopter Textron, Inc., Fort Worth, Texas, is being awarded a $58,054,000 modification to a previously awarded fixed-price incentive contract (N00019-13-C-0023) for the long lead materials for the manufacture and delivery of 13 Lot 13 UH-1Y Build New Aircraft and 14 Lot 13 AH-1Z Build New Aircraft for the U. S. Marine Corps. Work will be performed in Fort Worth, Texas (60 percent), and Amarillo, Texas (40 percent), and is expected to be completed in June 2016. Fiscal 2015 aircraft procurement (Navy) funds in the amount of $58,054,000 will be obligated at time of award, none of which will expire at the end of the current fiscal year. The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity. The Boeing Co., Jacksonville, Florida, is being awarded a $25,313,512 modification to a previously awarded indefinite-delivery/indefinite-quantity contract (N00019-14-D-0001) for depot-level service life extension and remanufacturing activities, including associated maintenance support and sustainment capabilities, for the F/A-18A-D aircraft. Work will be performed in Jacksonville, Florida (91.7 percent), and St. Louis, Missouri (8.3 percent), and is expected to be completed in September 2015. No funds are being obligated at time of award; funds will be obligated on individual delivery orders as they are issued. The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity."
46939,2014-11-21,"Lockheed Martin Space Systems Co., Sunnyvale, California, has been awarded a $40,729,757 cost-plus-award-fee modification (P00067) to previously awarded contract FA8808-10-C-0002 for additional logistics and sustainment support of the Defense Satellite Communications System and Milstar Military Satellite Communications Systems. Work will be performed at Schriever Air Force Base, Colorado; Peterson Air Force Base, Colorado; Vandenberg Air Force Base, California; Wheeler Air Force Base, Hawaii; Offutt Air Force Base, Nebraska; and MacDill Air Force Base, Florida, and is expected to be completed by May 31, 2015. Fiscal 2015 operations and maintenance funds in the amount of $7,457,651 are being obligated at the time of award. Space and Missile Systems Center, MILSATCOM Contracting Division, Peterson Air Force Base, Colorado, is the contracting activity. Raytheon Co., Raytheon Missile Systems, Tucson, Arizona, has been awarded a $32,221,204 modification (P00010) to previously awarded contract FA8681-13-C-0196 for Enhanced Paveway II guided bomb unit kits and a 10-year warranty for each kit. Contractor will provide 500 Enhanced Paveway II guided bomb units 49 and 50 kits (each kit includes an enhanced computer control group and an air foil group) and a 10-year warranty for each kit to be supplied to the Royal Saudi Air Force. Work will be performed at Tucson, Arizona, and is expected to be completed by July 1, 2016. This contract involves foreign military sales. Air Force Life Cycle Management Center, Eglin Air Force Base, Florida, is the contracting activity (FA8681-13-C-0196)."
47002,2014-11-26,"ARMTEC Defense Products, Co., Coachella, California, is being awarded a $48,540,000 three- year base, indefinite-delivery/indefinite-quantity contract to manufacture 85,208 MJU-64/B decoy devices, providing aircraft survivability and protection against infra-red threats. Work will be performed in Coachella, California, and all work is expected to be completed by November 2017. Fiscal 2015 procurement of ammunition (Navy and Marine Corps) funds in the amount of $7,308,516; foreign military sales funds in the amount of $272,340; and operations and maintenance funds in the amount of $154,326, for a total of $7,735,182, will be obligated on the first delivery order running concurrent with contract award. These funds will not expire before the end of the current fiscal year. The requirement was issued on a fully competitive, unrestricted basis, and two offers were received in response to this solicitation. NAVSUP Weapon Systems Support, Mechanicsburg, Pennsylvania, is the contracting activity (N00104-15-D-K026). Rockwell Collins, Inc., Cedar Rapids, Iowa, is being awarded a $47,401,884 modification to a previously awarded firm-fixed-price contract (N00019-13-C-0004) to exercise an option for the manufacture and installation of two Block I modification aircraft kits, for the E-6B aircraft including Internet Protocol Bandwidth Expansion Phase III and very low frequency transmit terminals. In addition, this modification provides for field support, an update to differences training, technology refresh and software licenses and agreements. Work will be performed in Richardson, Texas (62 percent), and Oklahoma City, Oklahoma (38 percent), and is expected to be completed in May 2016. Fiscal 2015 aircraft procurement (Navy) funds in the amount of $47,401,884 are being obligated on this award, none of which will expire at the end of the current fiscal year. The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity."
47025,2014-12-01,"SEDNA Digital Solutions, LLC,* Manassas, Virginia, is being awarded a $10,180,823 modification to a previously awarded contract (N00024-13-C-6272) for engineering and technical services in support of high fidelity simulation/simulation and common processing system software development. This effort is the result of Small Business Innovation Research topic number N05-059, “High Fidelity Front End Simulation for complex Physics Based Processing System.” It is inclusive of engineering services and support for the development integration, test, demonstration and certification of a high fidelity sensor level stimulation and common processing system. The planned approach for procuring hardware is representative of each technical insertion (TI-12, TI-14, and TI-16) for the length of the contract, with benchmark work for TI-18. Work will be performed in Manassas, Virginia, and is expected to be completed by September 2015. Fiscal 2015 research, development, test and evaluation funds and fiscal 2015 other procurement (Navy) funding in the amount of $835,620 will be obligated at time of award. Contract funds will expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington Navy Yard, Washington, District of Columbia, is the contracting activity. Raytheon Technical Services, Burlington, Massachusetts, is being awarded an $8,673,474 modification to a previously awarded delivery order (N00178-04-D-4112-0004) to exercise the award term six option for engineering services in support of the design, integration, installation, test, and certification of the CVN 78 class warfare system. This option exercise is for dual band radar installation, integration and test support of element and integrated combat system efforts for CVN 78. Raytheon will provide expert planning and support services for both land-based testing and shipboard industrial testing. Work will be performed in Wallops Island, Virginia (50 percent), and Newport News, Virginia (50 percent), and is expected to be completed by November 2015. Fiscal 2013 shipbuilding conversion (Navy) funding in the amount of $4,648,672 will be obligated at time of award. Contract funds will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, District of Columbia, is the contracting activity."
47138,2014-12-15,"Data Link Solutions LLC, Cedar Rapids, Iowa, is being awarded a $32,606,821 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for Multi-Functional Information Distribution System (MIDS) on Ship (MOS) Lot Four follow-on production (N00039-15-D-0022). The contract covers the fabrication, integration, testing and delivery of up to 12 MOS Lot Four production units for shipboard application. The contract also includes spares related to the aforementioned production. This contract includes options which, if exercised, would bring the cumulative value of this contract to an estimated $38,624,221. Work will be performed in Wayne, New Jersey (70 percent), and Cedar Rapids, Iowa (30 percent), and is expected to be completed by December 2017. Fiscal 2013 and 2014 shipbuilding and conversion (Navy) funds in the amount of $10,580,902 will be obligated at the time of award. Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured via the Commerce Business Daily’s Federal Business Opportunities website and the SPAWAR e-Commerce Central website, with one offer received. The Space and Naval Warfare Systems Command, San Diego, California, is the contracting activity (N00039-15-D-0022). Robertson Fuel Systems LLC, Tempe, Arizona, is being awarded a $14,779,950 modification to a previously awarded firm-fixed-price contract (N00019-12-C-0097) to exercise an option for the procurement of two Mission Auxiliary Fuel Tank Systems for the MV-22 Osprey aircraft to extend range of flight requirements. Work will be performed in Tempe, Arizona, and is expected to be completed in February 2016. Fiscal 2014 aircraft procurement (Navy) funds in the amount of $14,779,950 will be obligated at the time of award, none of which will expire at the end of the current fiscal year. The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity."
47180,2014-12-18,"General Dynamics Electric Boat Corp., Groton, Connecticut, is being awarded a $36,490,246 option under a previously awarded contract (N00024-11-C-2109) for engineering and technical design services to support research and development of advanced submarine technologies. The contract provides for R&D studies to support the manufacturability, maintainability, producibility, reliability, manning, survivability, hull integrity, performance, structural, weight/margin, stability, arrangements, machinery systems, acoustics, hydrodynamics, ship control, logistics, human factors, materials, weapons handling and stowage, submarine safety, and affordability of submarines. The program also supports near term insertion of Virginia-class technology; identification of Ohio-class replacement technology options; future submarine concepts; and core technologies. Work will be performed in Groton, Connecticut, and is expected to be completed by October 2015. Fiscal 2014 research, development, test and evaluation contract funds in the amount of $500,000 will be obligated at time of award and will expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, District of Columbia, is the contracting activity. BAE Systems Technology Solutions and Services Inc., Rockville, Maryland, is being awarded a $28,434,872 cost-plus-fixed-fee contract for services in support of the Naval Air Warfare Center Aircraft Division’s Integrated Communication and Information Systems Division. Services provided will support the design, integration, testing, installation, training, and certification of: shipboard command, control, communications, computers, & intelligence (C4I) electronic communication systems; like systems at shore sites associated with the deployment of fleet support to surface ships; and mobile and airborne C4I electronic communication systems designed to interface with the C4I electronic architecture of surface ships. Work will be performed in St. Inigoes, Maryland, and is expected to be completed in December 2023. Working capital funds (Navy) in the amount of $3,700,000 will be obligated on this award, none of which will expire at the end of the current fiscal year. This contract was competitively procured via an unrestricted request for proposals, with one offer received. The Naval Air Warfare Center Aircraft Division, Patuxent River, Maryland, is the contracting activity (N00421-15-C-0008)."
47211,2014-12-19,"General Dynamics National Steel and Shipbuilding Co., San Diego, California, is being awarded a $498,116,529 modification to a previously awarded fixed-price-incentive, firm-target contract (N00024-09-C-2229) for the procurement of the detail, design and construction of the fourth Mobile Landing Platform Afloat Forward Staging Base. Work will be performed in: San Diego, California (70 percent); Pittsburgh, Pennsylvania (7 percent); Chesapeake, Virginia (7 percent); Beloit, Wisconsin (6 percent); Iron Mountain, Michigan (2 percent); and various locations in the United States (0.8 percent); work is expected to be completed by March 2018. Fiscal 2014 shipbuilding and conversion (Navy) contract funds in the amount of $498,116,529 will be obligated at time of award and will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, District of Columbia, is the contracting activity. The Boeing Co., Seattle, Washington, is being awarded a not-to-exceed $171,169,232 undefinitized modification to a previously awarded firm-fixed-price contract (N00019-12-C-0112) for the procurement of a P-8A training system in support of the P-8A training requirements for the government of Australia. In addition, this modification will include two operational flight trainers, two weapons tactics trainers, one part task trainer, one training system support center, and program/training support. Work will be performed in St. Louis, Missouri (90 percent), and Tampa, Florida (10 percent), and is expected to be completed in March 2018. International partner funds in the amount of $35,205,691 are being obligated on this award, none of which will expire at the end of the current fiscal year. The Naval Air Warfare Center Training Systems Command, Orlando, Florida, is the contracting activity."
47212,2014-12-19,"United Technologies Corp., Pratt & Whitney Military Engines, East Hartford, Connecticut, is being awarded a $47,208,684 cost-plus-incentive-fee modification to the previously awarded fixed-price-incentive-firm target contract N00019-13-C-0016. This modification is for sustainment efforts and operations and maintenance services in support of Low Rate Initial Production Lot VIII F135 propulsion systems, including repair of repairables and replenishment spares. Work will be performed in Hartford, Connecticut (50 percent); Indianapolis, Indiana (36 percent); and Oklahoma City, Oklahoma (14 percent); and is expected to be completed in November 2015. Fiscal 2015 operations and maintenance funds (Navy, Air Force) and international partner funds in the amount of $10,911,399 will be obligated at the time of award, $6,720,832 of which will expire at the end of the current fiscal year. This contract combines purchase for the U.S. Air Force ($13,830,097; 29 percent); the U.S. Navy ($29,185,949; 62 percent); and the international partners ($4,192,638; 9 percent). The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity. Elkins Constructors, Inc., Jacksonville, Florida, is being awarded a $35,704,700 firm-fixed-price contract for construction of the Bolden Elementary-Middle School at Marine Corps Air Station Beaufort. The work to be performed provides for demolition of the existing Bolden school and construction of a new two-story elementary-middle school for grades 3 through 8. The contract also contains one planned modification, which, if issued, would increase cumulative contract value to $37,454,000. Work will be performed in Beaufort, South Carolina, and is expected to be completed by October 2017. Fiscal 2014 military construction (Defense-wide, Department of Defense Education Activity) contract funds in the amount of $35,704,700 are obligated on this award and will not expire at the end of the current fiscal year. This contract was competitively procured via the Federal Business Opportunities website with three proposals received. The Naval Facilities Engineering Command, Southeast, Jacksonville, Florida, is the contracting activity (N69450-15-C-1606)."
47217,2014-12-19,"General Dynamics National Steel and Shipbuilding Co., San Diego, California, is being awarded a $7,279,014 modification to a previously awarded contract (N00024-13-C-4404) for USS Peleliu (LHA 5) fiscal 2015 decommissioning. After 35 years of service, USS Peleliu (LHA 5) will be removed from active service and placed in decommissioned status. Work will be performed in San Diego, California, and is expected to be completed in March 2015. Fiscal 2015 operations and maintenance (Navy) funding in the amount of $7,279,014 will be obligated at time of award and will expire at the end of the current fiscal year. The Southwest Regional Maintenance Center, San Diego, California, is the contracting activity. General Electric Aviation, Lynn, Massachusetts, is being awarded $7,064,750 for cost-plus-fixed-fee delivery order 0005 against a previously issued Basic Ordering Agreement (N00421-14-G-0001) for the F414 Engine Component Improvement program, including engineering and engine system improvement support for the U.S. Navy and the government of Australia. Work will be performed at Lynn, Massachusetts, and is expected to be completed in December 2015. Fiscal 2015 research, development, test and evaluation funds (Navy) in the amount of $2,000,000 will be obligated at time of award, none of which will expire at the end of the current fiscal year. This order combines purchases for the U.S. Navy ($6,733,928; 95.3 percent) and the government of Australia ($330,822; 4.7 percent) under the foreign military sales program. The Naval Air Warfare Center Aircraft Division, Patuxent River, Maryland, is the contracting activity."
47434,2015-01-23,"Dynetics, Huntsville, Alabama, is being awarded a ceiling $172,000,000 indefinite-delivery/indefinite-quantity contract with a five year ordering period. The contract provides scientific and technical support to the Defense Intelligence Agency’s Missile and Space Intelligence Center. Work will be performed at Redstone Arsenal, Alabama, with an expected completion date of Jan. 25, 2020. The acquisition was solicited on the basis of full and open competition. Funding will be obligated on individual task orders. The Virginia Contracting Activity, Washington, District of Columbia, is the contracting activity (HHM402-15-D-0004)."
47517,2015-02-04,"Huntington Ingalls Inc., Newport News, Virginia, is being awarded a $224,384,309 modification to previously awarded contract (N00024-14-C-2111) for the material and first year of advance planning of the Refueling Complex Overhaul (RCOH) of USS George Washington (CVN 73). This modification will provide for the first year of RCOH advanced planning, shipchecks, design, documentation, engineering, fabrication and preliminary shipyard or support facility work to prepare for and make ready for the RCOH. In addition, this effort includes needed long lead time material requirements. The first year of advance planning work will be performed in Newport News, Virginia, and is expected to complete by February 2016. The material requirements are expected to be completed by January 2020. Fiscal 2014 shipbuilding conversion (Navy) funding in the amount of $57,523,198 will be obligated at time of award, and will not expire at the end of the current fiscal year. This contract was not competitively procured under the authority of 10 U.S.C. 2304(c)(1). The Naval Sea Systems Command, Washington, District of Columbia, is the contracting activity. L3 Communications Corp., Londonderry, New Hampshire, is being awarded a $49,500,000 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for binocular night vision devices. The binocular night vision devices will provide enhanced surveillance, identification, recognition and detection in all light and weather conditions, especially where vision is limited or restricted due to obscured and low/no light conditions. Work will be performed in Londonderry, New Hampshire, and is expected to be completed by January 2020. Fiscal 2015 other procurement (Navy) and fiscal 2015 operations and maintenance (Navy) contract funds in the amount of $191,866 will be obligated at time of award. Fiscal 2015 operations and maintenance funds in the amount of $38,373 will expire at the end of the current fiscal year. This contract was competitively procured via the Federal Business Opportunities website, with three offers received. The Naval Surface Warfare Center, Crane, Indiana, is the contracting activity (N00164-15-D-JQ22)."
47674,2015-02-27,"Whitesell-Green Inc.,* Pensacola, Florida, is being awarded $7,884,989 for firm-fixed-price task order 0005 under a previously awarded multiple award construction contract (N40085-13-D-7776) for the structural repairs of Pier R3 at Naval Weapons Station Yorktown. Repairs associated with this project include repairing concrete that has become delaminated, spalled and cracked resulting in corrosion to rebar steel, repairs to pile cap and piles and repairs to fendering system. Work will be performed in Yorktown, Virginia, and is expected to be completed by July 2016. Fiscal 2015 operation and maintenance (Navy) contract funds in the amount of $7,884,989 are obligated on this award and will expire at the end of the current fiscal year. Three proposals were received for this task order. The Naval Facilities Engineering Command, Mid-Atlantic, Norfolk, Virginia, is the contracting activity. Schuyler Line Navigation Co., Annapolis, Maryland, is being awarded $7,783,802 for the exercise of a 12-month option period under a previously awarded firm-fixed-price contract (N00033-13-C-5401) for the worldwide charter of one U.S.-flagged, shallow draft, double-hull product tanker. The vessel provides worldwide bulk fuel support to the U.S. Department of Defense, including operations in Japan and the North West Pacific, for the Department of Defense, Defense Logistics Agency Energy. Work for this option period will be performed at sea worldwide and is expected to be completed by February 2016. Fiscal 2015 Transportation Working Capital funds in the amount of $4,551,185 are being obligated at the time of award. Contract funds will not expire at the end of the current fiscal year. Military Sealift Command, Washington, District of Columbia, is the contracting activity."
47734,2015-03-06,"Olin Corp., Winchester Ammunition Division, East Alton, Illinois, is being awarded a $45,596,240 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for 5.56 mm frangible cartridges. This non-toxic cartridge is utilized for indoor, outdoor and close quarter battle training. Work will be performed in East Alton, Illinois, and is expected to be completed by March 2020. Fiscal 2014 procurement of ammunition (Navy and Marine Corp) funding in the amount of $9,800,000 will be obligated at time of award. Contract funds will expire at the end of the current fiscal year. This contract was competitively procured via the Federal Business Opportunities website, with four offers received. Naval Surface Warfare Center, Crane Division, Crane, Indiana, is the contracting activity (N00164-15-D-JN08). Boeing Co., St. Louis, Missouri, is being awarded a $30,259,124 firm-fixed-price contract for procurement of one each production Harpoon Joint Common Test Station assets and associated logistics elements for the governments of Australia and Saudi Arabia. Work will be performed in St. Louis, Missouri, and is expected to be completed in May 2018. Foreign military sales funds in the amount of $30,259,124 are being obligated at time of award, none of which will expire at the end of the current fiscal year. This contract combines purchases for the governments of Australia ($17,171,950; 56.75 percent) and Saudi Arabia ($13,087,174; 43.25 percent) under the Foreign Military Sales program. This contract was not competitively procured pursuant to FAR.6.302-1. The Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity (N00019-15-C-0076)."
47916,2015-03-27,"Lockheed Martin Corp., Baltimore, Maryland, is being awarded a $19,026,599 task order under previously awarded basic ordering agreement (BOA) (N00024-12-G-4329) for littoral combat ship fleet maintenance sustainment support. The BOA was initially awarded to Lockheed Martin for the design and construction of the Freedom-class littoral combat ship. Lockheed Martin currently administers and performs fleet maintenance requirements through both the use of its resources and the original equipment manufacturer, and the use of nationwide subcontractors that are capable of working on systems and subsystems. Work will be performed in San Diego, California, and is expected to be completed by September 2015. Fiscal 2015 operations and maintenance (Navy) contract funds in the amount of $19,026,599 will be obligated at time of award and will expire at the end of the current fiscal year. The Southwest Regional Maintenance Center, San Diego, California, is the ordering/contracting activity. Exelis Inc., Information Systems Division, Herndon, Virginia, is being awarded an $18,240,767 modification to previously awarded contract (N00174-11-D-0002) to exercise option four for the continued procurement of post-production maintenance support of Navy crew fixed site systems. This action is to fulfill a requirement for equipment, maintenance and support for the Joint Service Explosive Ordnance Disposal Counter Radio Controlled Improvised Explosive Device Electronic Warfare (JSEOD CREW) program. The JSEOD CREW program provides all military explosive ordnance disposal services with a new electronic warfare capability to counter the threat from improvised explosive devices. Work will be performed in Boalsburg, Pennsylvania, and is expected to be completed by March 2016. No funds are being obligated at the time of award. No contract funds will expire at the end of the current fiscal year. The Naval Surface Warfare Center Indian Head Explosive Ordnance Disposal Technology Division, Indian Head, Maryland, is the contracting activity."
48461,2015-05-29,"Raytheon Missile Systems, Tucson, Arizona, is being awarded a $149,495,209 modification to previously awarded contract (N00024 15 C-5408) for Standard Missile-2 (SM-2) and Standard Missile-6 (SM-6) fiscal 2015-2016 full rate production. This contract modification will incorporate requirements for one base production year (fiscal 2015) and one option year (fiscal 2016). Both years include SM-6 Block I and Block IA all up rounds, instrumentation kits, SM-2 and SM-6 section level and component spares, containers, and design agent engineering services. This contract modification includes options which, if exercised, would bring the cumulative value of this contract to $562,427,449. Work will be performed in Camden, Arkansas (30.8 percent); Tucson, Arizona (16.8 percent); Wolverhampton, England (15.1 percent); Andover, Massachusetts (7.8 percent); Middletown, Ohio (4.1 percent); San Jose, California (3 percent); Dallas, Texas (2.4 percent); Huntsville, Alabama (2.1 percent); Anniston, Alabama (1.8 percent); Middletown, Connecticut (1.4 percent); Clarkston, Georgia (1.3 percent); San Diego, California (1 percent); Thousand Oaks, California (1 percent); Warrington, Pennsylvania (1 percent); and other locations (10.4 percent), and is expected to be completed by March 2018. Fiscal 2015 weapons procurement (Navy); fiscal 2015 Missile Defense Agency; and fiscal 2015 operations and maintenance (Navy) funding in the amount of $233,304,187 will be obligated at time of award. Contract funds in the amount of $2,826,619 will expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington Navy Yard, District of Columbia, is the contracting activity. Insight Public Sector Inc., Tempe, Arizona, is being awarded $30,934,596 for call MU01 against a previously awarded blanket purchase agreement (N66001-15-A-0001) to procure Microsoft brand name enterprise licenses and support, known as software assurance. Work will be performed in Tempe, Arizona, and is expected to be completed by May 2016. Fiscal 2015 operation and maintenance (Marine Corps) funds in the amount $30,934,596 will be obligated at the time of award and will expire at the end of the current fiscal year. The Marine Corps Systems Command, Quantico, Virginia, is the contracting activity."
48894,2015-06-26,"Parsons Government Services Inc., Huntsville, Alabama, is being awarded a ceiling $68,845,081 indefinite-delivery/indefinite-quantity contract with a five-year ordering period. The contract provides scientific and technical support to the Defense Intelligence Agency's Missile and Space Intelligence Center. Work will be performed at Redstone Arsenal, Alabama, with an expected completion date of June 25, 2020. The acquisition was solicited on the basis of full and open competition, and two bids were received. Funding will be obligated on individual task orders with the initial task order scheduled to be awarded July 7, 2015, at an estimated ceiling price of $1,300,000. The Virginia Contracting Activity, Washington, District of Columbia, is the contracting activity (HHM402-15-D-0007)."
48922,2015-06-26,"Parsons Government Services Inc., Huntsville, Alabama, is being awarded a ceiling $68,845,081 indefinite-delivery/indefinite-quantity contract with a five-year ordering period. The contract provides scientific and technical support to the Defense Intelligence Agency's Missile and Space Intelligence Center. Work will be performed at Redstone Arsenal, Alabama, with an expected completion date of June 25, 2020. The acquisition was solicited on the basis of full and open competition, and two bids were received. Funding will be obligated on individual task orders with the initial task order scheduled to be awarded July 7, 2015, at an estimated ceiling price of $1,300,000. The Virginia Contracting Activity, Washington, District of Columbia, is the contracting activity (HHM402-15-D-0007)."
